SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ABDL, EQ, 01-Feb-2026,486.15,486.9,504.75,475.0,490.0,491.3,489.36,347623,1701.12,16317, 148529, 42.73
ABFRL, EQ, 01-Feb-2026,66.41,67.0,67.49,64.0,64.15,64.78,65.89,2167026,1427.91,14388, 658005, 30.36
ABGSEC, EQ, 01-Feb-2026,111.01,111.27,112.2,111.27,111.97,111.43,111.96,1481,1.66,14, 1132, 76.43
ABHAPOWER, SM, 01-Feb-2026,33.5,33.0,33.0,33.0,33.0,33.0,33.0,1600,0.53,1, 1600, 100.00
ABINFRA, EQ, 01-Feb-2026,19.44,19.8,20.0,18.47,18.47,18.5,18.86,918468,173.27,1525, 518074, 56.41
ABLBL, EQ, 01-Feb-2026,105.03,105.4,106.15,102.27,102.65,102.97,104.01,389531,405.17,6060, 167639, 43.04
ABMINTLLTD, EQ, 01-Feb-2026,35.17,37.9,37.9,35.2,35.2,35.2,37.24,968,0.36,46, 767, 79.24
ABREL, EQ, 01-Feb-2026,1266.4,1279.7,1289.1,1222.2,1235.0,1233.9,1263.77,148796,1880.44,9373, 86784, 58.32
ABSLAMC, EQ, 01-Feb-2026,759.45,751.0,769.65,742.15,752.0,759.7,755.95,118170,893.3,7623, 42267, 35.77
ABSLBANETF, EQ, 01-Feb-2026,60.85,59.32,61.39,59.13,59.73,59.81,59.93,126328,75.71,514, 42951, 34.00
ABSLLIQUID, EQ, 01-Feb-2026,999.99,1000.0,1000.01,999.99,1000.01,1000.0,1000.0,1152,11.52,19, 816, 70.83
ABSLNN50ET, EQ, 01-Feb-2026,70.89,70.69,71.3,68.53,69.98,68.95,69.49,97904,68.03,386, 37017, 37.81
ABSLPSE, EQ, 01-Feb-2026,10.44,10.43,10.8,10.0,10.2,10.2,10.27,786354,80.72,1253, 483778, 61.52
ABSMARINE, SM, 01-Feb-2026,180.2,178.2,181.0,172.05,173.35,176.65,177.46,24000,42.59,40, 17500, 72.92
ACC, EQ, 01-Feb-2026,1636.9,1654.0,1670.0,1614.2,1623.0,1620.8,1641.82,126502,2076.94,11363, 60349, 47.71
ACCELYA, EQ, 01-Feb-2026,1289.3,1302.1,1328.0,1299.0,1320.1,1321.6,1315.91,19886,261.68,1608, 11872, 59.70
ACCENTMIC, SM, 01-Feb-2026,322.35,327.8,338.0,315.0,333.95,332.45,330.22,27500,90.81,50, 19000, 69.09
ACCPL, ST, 01-Feb-2026,67.4,66.05,70.0,66.05,70.0,69.75,69.09,6000,4.15,5, 6000, 100.00
ACCURACY, EQ, 01-Feb-2026,4.96,5.17,5.25,4.99,5.11,5.06,5.11,129684,6.63,963, 86546, 66.74
ACE, EQ, 01-Feb-2026,849.5,855.0,909.95,836.1,887.0,887.3,886.29,819928,7266.91,47670, 155010, 18.91
ACEINTEG, EQ, 01-Feb-2026,19.13,19.04,19.49,19.03,19.39,19.39,19.09,1456,0.28,15, 1229, 84.41
ACI, EQ, 01-Feb-2026,566.05,566.05,592.0,555.3,573.0,587.95,578.94,159163,921.46,8399, 70146, 44.07
ACL, EQ, 01-Feb-2026,57.18,55.61,58.85,55.61,58.5,57.89,57.92,15500,8.98,532, 8365, 53.97
ACMESOLAR, EQ, 01-Feb-2026,225.78,227.9,231.82,217.25,217.95,221.64,226.47,327071,740.71,9877, 102957, 31.48
ACUTAAS, EQ, 01-Feb-2026,1912.5,1910.5,1920.5,1791.0,1825.0,1825.3,1860.3,213797,3977.27,18215, 97698, 45.70
ADANIENSOL, EQ, 01-Feb-2026,894.8,885.6,906.5,842.0,848.95,845.75,870.69,908084,7906.59,22723, 251353, 27.68
ADANIENT, EQ, 01-Feb-2026,2020.4,2021.0,2039.8,1931.0,1937.8,1942.8,1981.17,1802165,35703.98,61214, 464753, 25.79
ADANIGREEN, EQ, 01-Feb-2026,852.3,854.5,861.45,796.65,807.5,806.8,830.93,3622961,30104.31,78941, 794232, 21.92
ADANIPORTS, EQ, 01-Feb-2026,1419.8,1419.8,1453.9,1325.0,1347.9,1344.9,1390.21,1975061,27457.45,68751, 644902, 32.65
ADANIPOWER, EQ, 01-Feb-2026,135.38,136.5,139.86,131.95,133.48,132.85,134.69,10156494,13680.26,99024, 4093670, 40.31
ADDICTIVE, SM, 01-Feb-2026,100.75,105.0,107.95,105.0,105.0,105.0,105.05,31000,32.57,32, 30000, 96.77
ADFFOODS, EQ, 01-Feb-2026,175.91,175.91,177.44,170.0,174.99,172.44,172.81,48794,84.32,1698, 20877, 42.79
ADL, EQ, 01-Feb-2026,74.0,73.0,76.5,68.26,74.99,74.85,71.37,477,0.34,73, 242, 50.73
ADOR, EQ, 01-Feb-2026,1043.9,1038.7,1075.0,1020.0,1059.0,1058.2,1057.81,16145,170.78,2894, 11364, 70.39
ADROITINFO, EQ, 01-Feb-2026,9.25,9.99,9.99,9.01,9.39,9.46,9.18,119442,10.97,360, 113581, 95.09
ADSL, EQ, 01-Feb-2026,124.86,125.6,148.68,123.2,142.0,142.17,141.26,2596483,3667.87,32386, 291654, 11.23
ADVAIT, EQ, 01-Feb-2026,1504.3,1544.9,1559.8,1430.1,1437.0,1446.9,1513.62,35603,538.89,7407, 9638, 27.07
