ISIN,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
INE760L01018,2026-02-04,2026-02-04,CM,NSE,STK,27037,TBZ,EQ,,,,,TRIB BHIMJI ZAVERI LTD,160.6,160.85,158.58,160.15,160.4,161.59,,160.15,,,206447,32970937.22,4883,F1,1,,,,,
INE064C01022,2026-02-04,2026-02-04,CM,NSE,STK,9685,TRIDENT,EQ,,,,,TRIDENT LIMITED,29.0,29.99,28.59,29.27,29.33,28.71,,29.27,,,29364904,863884530.37,67225,F1,1,,,,,
INE0QD201012,2026-02-04,2026-02-04,CM,NSE,STK,21078,TECHLABS,SM,,,,,TRIDENT TECHLABS LIMITED,230.0,230.0,223.45,223.45,223.45,235.2,,223.45,,,40125,8973975.0,165,F1,125,,,,,
INE948A01012,2026-02-04,2026-02-04,CM,NSE,STK,5428,TRIGYN,EQ,,,,,TRIGYN TECHNOLOGIES LTD,61.5,65.7,60.02,64.7,65.2,60.5,,64.7,,,72699,4635380.94,1900,F1,1,,,,,
INE256C01024,2026-02-04,2026-02-04,CM,NSE,STK,13081,TRIVENI,EQ,,,,,TRIVENI ENGG. & INDS. LTD,376.25,377.7,370.0,376.9,374.5,376.25,,376.9,,,164537,61643247.05,5931,F1,1,,,,,
INE152M01016,2026-02-04,2026-02-04,CM,NSE,STK,25584,TRITURBINE,EQ,,,,,TRIVENI TURBINE LIMITED,540.0,541.75,502.0,509.05,510.1,549.4,,509.0,,,1672895,857341178.35,76945,F1,1,,,,,
INE0SYV01018,2026-02-04,2026-02-04,CM,NSE,STK,24642,TROM,SM,,,,,TROM INDUSTRIES LIMITED,55.0,60.0,54.4,58.35,58.0,54.2,,58.35,,,26400,1497960.0,43,F1,600,,,,,
INE0MWH01014,2026-02-04,2026-02-04,CM,NSE,STK,759210,TRUALT,EQ,,,,,TRUALT BIOENERGY LIMITED,386.55,396.75,364.05,382.7,385.0,402.65,,382.7,,,756508,286880437.75,17125,F1,1,,,,,
INE615R01029,2026-02-04,2026-02-04,CM,NSE,STK,9378,TRU,EQ,,,,,TRUCAP FINANCE LIMITED,7.75,7.75,7.21,7.33,7.39,7.48,,7.34,,,76312,567238.93,281,F1,1,,,,,
INE0SWN01019,2026-02-04,2026-02-04,CM,NSE,STK,23417,TRUST,SM,,,,,TRUST FINTECH LIMITED,45.5,48.0,44.55,45.0,45.5,46.6,,45.0,,,13800,645570.0,15,F1,600,,,,,
